word	score	*[+continuant,+voice,-anterior]	*[+sonorant,+dorsal]	*[^-voice,+anterior,+strident][-approximant]	*[-word_boundary][+continuant]	*[-word_boundary][+voice]	*[-strident][+consonantal]	*[+sonorant][-word_boundary]	*[+labial][^+approximant,+coronal]	*[-word_boundary][+strident]	*[-anterior][^+approximant,-anterior]	*[+continuant,+voice][-word_boundary]	*[-continuant,-anterior][-word_boundary]	*[-word_boundary][-back]	*[+anterior,+strident][-anterior]	*[+spread][^+back]	*[+continuant,+voice,+coronal]	*[+voice][^+approximant,+coronal]	*[+continuant,-strident][^+approximant,-anterior]	*[-word_boundary][+coronal][^+approximant,-anterior]	*[-word_boundary][^-continuant,-voice,+labial][+consonantal]	*[+continuant,-strident]	*[+strident][-anterior]	*[-continuant,-voice,+coronal][^+approximant,-anterior]	annotation
word	score	default	default	default	default	default	default	default	default	default	default	default	default	default	default	default	default	default	default	default	default	default	default	default	annotation
word	score	3.282	5.64	5.91	5.168	5.367	4.396	6.661	4.958	1.313	4.844	4.843	3.174	5.036	2.802	4.82	2.692	2.967	2.06	2.057	3.051	1.845	2.096	1.703	annotation
F D 	16.235	0	0	1	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ZH JH 	33.313	1	0	1	0	1	0	0	0	1	1	1	0	0	0	0	1	1	0	0	0	0	1	0	0
SH L 	4.844	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
W Y 	16.656	0	0	0	0	0	0	1	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
F F 	16.036	0	0	1	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
B F 	19.003	0	0	1	1	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
R Z 	36.35	0	0	1	1	1	1	1	0	1	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0
G Z 	23.417	0	0	1	1	1	0	0	0	1	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0
NG ZH 	36.033	1	1	1	1	1	0	1	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
N M 	16.967	0	0	1	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
K N HH 	33.153	0	0	2	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0
K N 	5.91	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NG Y 	17.337	0	1	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
D V D 	50.903	0	0	2	1	2	1	0	1	0	0	1	0	0	0	0	0	2	0	0	1	0	0	0	0
N DH 	32.039	0	0	1	1	1	1	1	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0
K CH 	7.222	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NG V 	28.746	0	1	1	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
N V 	27.502	0	0	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Y V 	23.106	0	0	1	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Z G 	21.779	0	0	1	0	1	0	0	0	0	0	1	0	0	0	0	1	1	0	0	0	0	0	0	0
P B 	16.235	0	0	1	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
JH F 	22.062	0	0	1	1	0	0	0	0	0	1	0	1	0	0	0	0	1	0	0	0	0	0	0	0
W NG 	23.169	0	1	1	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
S Z Y 	29.443	0	0	0	1	1	0	0	0	1	0	1	0	1	0	0	1	1	0	1	0	0	0	0	0
TH Y 	8.941	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	1	0	0	0
V W 	12.768	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0
TH G 	19.578	0	0	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0
R G Z 	53.645	0	0	2	1	2	1	1	0	1	1	0	0	0	0	0	1	1	0	0	1	0	0	0	0
W F 	22.697	0	0	1	1	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
L M 	16.967	0	0	1	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
